Island,Date,Genus,Species,Species whole,Latitude,Longitude,Datum,Record type,Collector,Method,Comments,Description,Class,Order,Family,Institution,Expedition
Adolphus ,15 Aug 2008,Chaerephon,jobensis,Chaerephon jobensis,-15.08306,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolophus Is site2 15Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 2. Dry creek bed lined by paperbark trees. A salt water pool is approx 10m away.",MAMMALIA,CHIROPTERA,MOLOSSIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,15 Aug 2008,Chalinolobus,nigrogriseus,Chalinolobus nigrogriseus,-15.08306,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolophus Is site2 15Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 2. Dry creek bed lined by paperbark trees. A salt water pool is approx 10m away.",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,09 Aug 2008,Chalinolobus,nigrogriseus,Chalinolobus nigrogriseus,-15.10556,128.15639,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 9Aug08 x16.mp3  Call ID by: RB&NMcK,"Adolphus Island, site 4. Dry creek line in Euc tall woodland",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,15 Aug 2008,Macroderma,gigas,Macroderma gigas,-15.08306,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolophus Is site2 15Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 2. Dry creek bed lined by paperbark trees. A salt water pool is approx 10m away.",MAMMALIA,CHIROPTERA,MEGADERMATIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,09 Aug 2008,Macroderma,gigas,Macroderma gigas,-15.10556,128.15639,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 9Aug08 x16.mp3  Call ID by: RB&NMcK,"Adolphus Island, site 4. Dry creek line in Euc tall woodland",MAMMALIA,CHIROPTERA,MEGADERMATIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,16 Aug 2008,Miniopterus,schreibersii,Miniopterus schreibersii,-15.07833,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is Site2 16Aug08 x16.mp3  Call ID by: NMcK,"Adolphus Island, site 1. At Camp2 in open woodland at foot of Pkp scree slope ",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,15 Aug 2008,Miniopterus,schreibersii,Miniopterus schreibersii,-15.08306,128.14111,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolophus Is site2 15Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 2. Dry creek bed lined by paperbark trees. A salt water pool is approx 10m away.",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,10 Aug 2008,Miniopterus,schreibersii,Miniopterus schreibersii,-15.10861,128.15306,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 10Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 3. Dry rocky creek line with scattered vine thicket trees to 5m - steep heavy boulder slopes both sides",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,09 Aug 2008,Miniopterus,schreibersii,Miniopterus schreibersii,-15.10556,128.15639,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 9Aug08 x16.mp3  Call ID by: RB&NMcK,"Adolphus Island, site 4. Dry creek line in Euc tall woodland",MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
Adolphus ,10 Aug 2008,Mormopterus,beccarii,Mormopterus beccarii,-15.10861,128.15306,WGS84,call ID,NMcK teams,Anabat-minidisc,Anabat-minidisc File name: Adolphus Is site1 10Aug08 X16.mp3  Call ID by: RB,"Adolphus Island, site 3. Dry rocky creek line with scattered vine thicket trees to 5m - steep heavy boulder slopes both sides",MAMMALIA,CHIROPTERA,MOLOSSIDAE,Department of Parks and Wildlife,Kimberley Island Biodiversity Survey
